created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-30T12:50:24Z,1598011577634283500,1598011577634283520,"Hey guys! Back on #dragonflight to see more adorable things and possibly be better at dragonriding. Drops for the feldrake are enabled! Come join in!
https://t.co/kocyb2DsPd
#worldofwarcraft 
#smallstreamers
#twitchstreamer",FALSE,223,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,2,FALSE,FALSE,FALSE,en,NA,NA,,"Hey guys! Back on #dragonflight to see more adorable things and possibly be better at dragonriding. Drops for the feldrake are enabled! Come join in!
https://t.co/kocyb2DsPd
#worldofwarcraft 
#smallstreamers
#twitchstreamer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:48:12Z,1598011024761757700,1598011024761757697,"Want to get rid of that pesky flashing covenant button on your minimap?  The addon ""SexyMap"" can do that under the button settings, changing the ""Show garrison button"" to ""Never"". @Warcraft #Warcraft #Dragonflight https://t.co/yFPtaoiXEv",FALSE,213,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Want to get rid of that pesky flashing covenant button on your minimap?  The addon ""SexyMap"" can do that under the button settings, changing the ""Show garrison button"" to ""Never"". @Warcraft #Warcraft #Dragonflight https://t.co/yFPtaoiXEv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:48:00Z,1598010973033418800,1598010973033418752,"TGI 540 - Talking Up Your Potions - @RMurphy has been playing an interesting mix of genres with #Potionomics, while @JocePlays checks in on the latest WoW drop of #Dragonflight. Plus our thoughts on the second @supermariomovie trailer!
https://t.co/zAAhqCUNLo https://t.co/eubCLxuPTT",FALSE,259,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"TGI 540 - Talking Up Your Potions - @RMurphy has been playing an interesting mix of genres with #Potionomics, while @JocePlays checks in on the latest WoW drop of #Dragonflight. Plus our thoughts on the second @supermariomovie trailer!
https://t.co/zAAhqCUNLo https://t.co/eubCLxuPTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:47:17Z,1598010792489914400,1598010792489914369,The adult in mean knows it’s important for me to come to the gym when I have the time. The kid in mean only wants to go home and play WoW #Dragonflight,FALSE,151,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,The adult in mean knows it’s important for me to come to the gym when I have the time. The kid in mean only wants to go home and play WoW #Dragonflight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:47:10Z,1598010765247918e3,1598010765247918081,"I'm A wake I'm A Wake! Let's gooooooooooooooooo!!!!!!!!!!!!!!!!!!!!!!!!! #Dragonflight 
https://t.co/7Uz2kha6gv https://t.co/kAtEDus2wK",FALSE,111,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"I'm A wake I'm A Wake! Let's gooooooooooooooooo!!!!!!!!!!!!!!!!!!!!!!!!! #Dragonflight 
https://t.co/7Uz2kha6gv https://t.co/kAtEDus2wK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:47:02Z,1598010729898315800,1598010729898315776,I just want to be level 70 already. lol #WoW #DragonFlight,FALSE,58,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,I just want to be level 70 already. lol #WoW #DragonFlight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:45:33Z,1598010356353204200,1598010356353204224,"LIVE drop on🔴 #Dragonflight 
https://t.co/ziQTbbPLWe",FALSE,52,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,FALSE,en,NA,NA,,"LIVE drop on🔴 #Dragonflight 
https://t.co/ziQTbbPLWe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:45:00Z,1598010218201350100,1598010218201350171,"ICYMI, @YogscastLewis played WOW yesterday in a castle with a very special guest: @lovegwendoline!

To catch up on this crossover of the ages, be sure to check out the VOD over on https://t.co/Gd2XjkjQYW! ⚔ #dragoncastle #worldofwarcraft #dragonflight #ad https://t.co/rcSgyCnRG4",FALSE,255,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,78,FALSE,FALSE,FALSE,en,NA,NA,,"ICYMI, @YogscastLewis played WOW yesterday in a castle with a very special guest: @lovegwendoline!

To catch up on this crossover of the ages, be sure to check out the VOD over on https://t.co/Gd2XjkjQYW! ⚔ #dragoncastle #worldofwarcraft #dragonflight #ad https://t.co/rcSgyCnRG4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:44:58Z,1598010209922089e3,1598010209922088960,"Last call for them #TwitchDrops folks~ Jump into my stream as we continue our adventure in #Dragonflight and have a good time!!
#WoW #StreamingLive #twitchstreamer #Online 
Link: https://t.co/1rq1Xx38ZF",FALSE,202,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Last call for them #TwitchDrops folks~ Jump into my stream as we continue our adventure in #Dragonflight and have a good time!!
#WoW #StreamingLive #twitchstreamer #Online 
Link: https://t.co/1rq1Xx38ZF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:44:54Z,1598010193300041700,1598010193300041728,"🔴NOW LIVE! Grinding Mythics on #WorldOfWarcraft #Dragonflight 

https://t.co/vVDjzqPwlB",FALSE,87,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3,3,FALSE,FALSE,FALSE,en,NA,NA,,"🔴NOW LIVE! Grinding Mythics on #WorldOfWarcraft #Dragonflight 

https://t.co/vVDjzqPwlB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:43:55Z,1598009946486214700,1598009946486214656,"Weird they retroactively changed the name of the whole expansion 🤔
Oh well. We'll be hitting it again today LIVE! Exercise -&gt; food -&gt; stream. No ending stream until I get my fill of world PvP 😤
#Dragonflight #Warcraft #twitchstreamer #doyourdailies https://t.co/veaSRWtcSk",FALSE,254,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Weird they retroactively changed the name of the whole expansion 🤔
Oh well. We'll be hitting it again today LIVE! Exercise -&gt; food -&gt; stream. No ending stream until I get my fill of world PvP 😤
#Dragonflight #Warcraft #twitchstreamer #doyourdailies https://t.co/veaSRWtcSk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:42:04Z,1598009482847453200,1598009482847453184,"UNBOXING NOW: A special gift from @Warcraft to celebrate #dragonflight launch! 

Tune in at https://t.co/H4Nd1Es9ru https://t.co/qRDkSpLr9x",FALSE,115,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,9,FALSE,FALSE,FALSE,en,NA,NA,,"UNBOXING NOW: A special gift from @Warcraft to celebrate #dragonflight launch! 

Tune in at https://t.co/H4Nd1Es9ru https://t.co/qRDkSpLr9x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-30T12:40:22Z,1598009053648937e3,1598009053648936960,In this house we stan Waddles and his dragon dads. #Warcraft #Dragonflight,FALSE,74,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,1,FALSE,FALSE,NA,en,NA,NA,,In this house we stan Waddles and his dragon dads. #Warcraft #Dragonflight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
